Index of Commit,SubIndex of Commit,Size,Path
72,10,58398,NEWS.md
72,12,5016,README.md
72,18,326,plotly.Rproj
73,0,299,.Rbuildignore
73,2,238,.gitignore
73,3,1356,.travis.yml
73,4,1387,CONDUCT.md
73,5,2534,CONTRIBUTING.md
73,6,2232,DESCRIPTION
73,7,42,LICENSE
73,8,1090,LICENSE.md
73,9,6628,NAMESPACE
73,10,58398,NEWS.md
73,12,5016,README.md
73,18,326,plotly.Rproj
74,0,299,.Rbuildignore
74,2,238,.gitignore
74,3,1356,.travis.yml
74,4,1387,CONDUCT.md
74,5,2534,CONTRIBUTING.md
74,6,2232,DESCRIPTION
74,7,42,LICENSE
74,8,1090,LICENSE.md
74,9,6628,NAMESPACE
74,10,58307,NEWS.md
74,12,5016,README.md
74,18,326,plotly.Rproj
75,0,299,.Rbuildignore
75,2,238,.gitignore
75,3,1356,.travis.yml
75,4,1387,CONDUCT.md
75,5,2534,CONTRIBUTING.md
75,6,2232,DESCRIPTION
75,7,42,LICENSE
75,8,1090,LICENSE.md
75,9,6628,NAMESPACE
75,10,58307,NEWS.md
75,12,5016,README.md
75,18,326,plotly.Rproj
76,0,299,.Rbuildignore
76,2,238,.gitignore
76,3,1356,.travis.yml
76,4,1387,CONDUCT.md
76,5,2534,CONTRIBUTING.md
76,6,2212,DESCRIPTION
76,7,42,LICENSE
76,8,1090,LICENSE.md
76,9,6628,NAMESPACE
76,10,58307,NEWS.md
76,12,5016,README.md
76,18,326,plotly.Rproj
77,0,299,.Rbuildignore
77,2,238,.gitignore
77,3,1356,.travis.yml
77,4,1387,CONDUCT.md
77,5,2534,CONTRIBUTING.md
77,6,2212,DESCRIPTION
77,7,42,LICENSE
77,8,1090,LICENSE.md
77,9,6628,NAMESPACE
77,10,58115,NEWS.md
77,12,5016,README.md
77,18,326,plotly.Rproj
78,0,299,.Rbuildignore
78,2,238,.gitignore
78,3,1356,.travis.yml
78,4,1387,CONDUCT.md
78,5,2534,CONTRIBUTING.md
78,6,2205,DESCRIPTION
78,7,42,LICENSE
78,8,1090,LICENSE.md
78,9,6628,NAMESPACE
78,10,58115,NEWS.md
78,12,5016,README.md
78,18,326,plotly.Rproj
79,0,299,.Rbuildignore
79,2,238,.gitignore
79,3,1356,.travis.yml
79,4,1387,CONDUCT.md
79,5,2534,CONTRIBUTING.md
79,6,2205,DESCRIPTION
79,7,42,LICENSE
79,8,1090,LICENSE.md
79,9,6628,NAMESPACE
79,10,58115,NEWS.md
79,12,5016,README.md
79,18,326,plotly.Rproj
80,0,299,.Rbuildignore
80,2,238,.gitignore
80,3,1356,.travis.yml
80,4,1387,CONDUCT.md
80,5,2534,CONTRIBUTING.md
80,6,2205,DESCRIPTION
80,7,42,LICENSE
80,8,1090,LICENSE.md
80,9,6628,NAMESPACE
80,10,58115,NEWS.md
80,12,5016,README.md
80,18,326,plotly.Rproj
81,0,299,.Rbuildignore
81,2,238,.gitignore
81,3,1356,.travis.yml
81,4,1387,CONDUCT.md
81,5,2534,CONTRIBUTING.md
81,6,2194,DESCRIPTION
81,7,42,LICENSE
81,8,1090,LICENSE.md
81,9,6848,NAMESPACE
81,10,58115,NEWS.md
81,12,5016,README.md
81,18,326,plotly.Rproj
82,0,299,.Rbuildignore
82,2,238,.gitignore
82,3,1356,.travis.yml
82,4,1387,CONDUCT.md
82,5,2534,CONTRIBUTING.md
82,6,2194,DESCRIPTION
82,7,42,LICENSE
82,8,1090,LICENSE.md
82,9,6848,NAMESPACE
82,10,58115,NEWS.md
82,12,5016,README.md
82,18,326,plotly.Rproj
83,0,299,.Rbuildignore
83,2,238,.gitignore
83,3,1356,.travis.yml
83,4,1387,CONDUCT.md
83,5,2534,CONTRIBUTING.md
